kategorija,count
UZRAST OD 3 DO 6 GODINA,1936
DOMAĆI ROMAN,1762
ROMAN,1695
ROMANI I PRIČE ZA DECU OD 7 DO 9 GODINA,684
POEZIJA,641
TRILERI/MISTERIJE,615
ISTORIJA,596
KLASICI,535
STRIP,523
UZRAST OD 0 DO 2 GODINE,448
NAUKA I OPŠTA INTERESOVANJA ZA DECU,448
DOMAĆE PRIČE I PRIPOVETKE,447
TINEJDŽ I YA ROMAN,447
ROMANI I PRIČE ZA DECU OD 10 DO 12 GODINA,444
LJUBAVNI ROMAN,441
"DOMAĆE BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",377
FILOZOFIJA,375
"BIOGRAFIJE, MEMOARI, DNEVNICI, PISMA",313
"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE",298
ESEJISTIKA I PUBLICISTIKA,282
POLITIKA,275
UDŽBENICI I PRIRUČNICI,272
"TEORIJA, TUMAČENJE I ISTORIJA KNJIŽEVNOSTI",263
LEKTIRA,254
PRIPOVETKE,231
UZRAST OD 7 DO 9 GODINA,224
DOMAĆI KLASICI,217
KOMPJUTERSKA LITERATURA,211
PSIHOLOGIJA,207
UM TELO I DUH,197
ISTORIJSKI ROMAN,196
RELIGIJA I TEOLOGIJA,196
MANGE,196
FANTASTIKA,164
VASPITANJE I PSIHOLOGIJA,159
SOCIOLOGIJA,139
GIFT KNJIGE,132
UZRAST OD 10 DO 12 GODINA,115
SAVETI ZA KARIJERU I POSTIZANJE USPEHA,114
PUTOPISI,106
DOMAĆI LJUBAVNI ROMAN,106
EZOTERIJA,103
POPULARNA NAUKA,97
MUZIKA,96
MENADŽMENT,95
KULINARSTVO,91
HOROR,88
ALTERNATIVNA MEDICINA,81
ATLASI I VODIČI,78
OPŠTA UMETNOST,75
NAUČNA FANTASTIKA,66
EKONOMIJA,65
ETNOLOGIJA/ANTROPOLOGIJA,62
DEČJE KNJIGE ZA UČENJE STRANIH JEZIKA,62
POZORIŠTE,58
DRAME,58
CHICK LIT - ROMANTIČNA KOMEDIJA,57
BIZNIS,55
ISTORIJA UMETNOSTI,55
SPORT,55
TINEJDŽ I YA PRIRUČNICI,52
ZDRAV ŽIVOT,51
"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE (domaći autori)",50
"KOMUNIKACIJA, EMOCIJA I ODNOSI SA DRUGIMA",48
PRAVO,46
PEDAGOGIJA,46
HUMOR,45
POLJOPRIVREDA,44
ZDRAVA ISHRANA I TRAVARSTVO,42
TURIZAM,42
LINGVISTIKA,40
SRPSKI JEZIK,38
MISLI POSLOVICE IZREKE,38
FILM,35
ELEKTROTEHNIKA,34
TRUDNOĆA I NEGA DECE,33
EROTSKI ROMAN,33
MARKETING,32
MEDICINA (OPŠTA),28
KULTUROLOGIJA,27
GEOGRAFIJA,27
MITOLOGIJA,25
FIZIKA,24
MATEMATIKA,24
EKOLOGIJA,21
REČNICI ENGLESKOG JEZIKA,21
SAVETI ZA KARIJERU I POSTIZANJE USPEHA (domaći autori),21
NEMAČKI JEZIK,19
ENTERIJER I UNUTRAŠNJI DEKOR,18
BOTANIKA,16
POBOLJŠANJE PAMĆENJA I TEHNIKE RAZMIŠLJANJA,16
HRANA I PIĆE,15
MEDIJI,15
GRAĐEVINARSTVO,15
ITALIJANSKI JEZIK,14
FILOLOGIJA,14
MAŠINSTVO,14
ASTROLOGIJA,13
OSTALI JEZICI,13
FRANCUSKI JEZIK,13
RUSKI JEZIK,12
AKCIJA/AVANTURA,11
VRT I BAŠTA,10
"KOMUNIKACIJA, EMOCIJA I ODNOSI SA DRUGIMA (domaći autori)",10
ARHEOLOGIJA,10
KUĆNI LJUBIMCI,9
