naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
MUZEJ UMETNOSTI,Autorski tim Phaidon Press-a,ISTORIJA UMETNOSTI,DATA STATUS,2017,978,Tvrd,32x42,"Sa gotovo 1000 luksuzno opremljenih, izuzetno velikih stranica punih najznačajnijih umetničkih dela, uključujući i ona koja se mogu videti samo u privatnim kolekcijama i ona do kojih se mora putovati u zabačene delove sveta, Muzej umetnosti obuhvata period istorije čovečanstava od preko tri milenijuma i uključuje dela iz 650 muzeja i privatnih zbirki sa svih kontinenata. Počev od najstarijih poznatih pećinskih slika pa sve do današnjeg dana, ovaj umetnički poduhvat predstavlja pravo uživanje za oči i dušu i riznicu informacija za poznavaoce i ljubitelje umetnosti.",21600.0
OTADŽBINA VRLINE,"Milan Radovanović, Novica Petrović, Marija Ivankov",RELIGIJA I TEOLOGIJA,ZAVOD ZA UDŽBENIKE,2010,512,Tvrd,29x13,"Knjiga o selima Presvete Bogorodice i nebeskim građanima, štampana uporedo na srpskom, engleskom i ruskom jeziku. Oglasima kakvo je blago pohranjeno na Atosu: to nisu zlaćena blaga starine, niti odežde protkane zlatnim koncem, niti ukrašeni rukopisi - ne, to je prevashodno blagodaću preispunjena Isusova molitva, kojom su stvorene sve te stvari.",20134.0
IZABRANA DELA – IVO ANDRIĆ 1–8,Ivo Andrić,DOMAĆI KLASICI,VULKAN IZDAVAŠTVO,2021,2428,Tvrd,22.5x22,"""Izabrana dela čine sledeće knjige:",15291.0
NEUROLOGIJA NOVOROĐENČETA,"Dragomir Branković,Borivoj Marjanović,Ljubomir Sto",NEUROLOGIJA,BOOK,2019,1170,Tvrd,21.5x30,"U kapitalnoj monografiji Neurologija novorođenčeta Dragomira Brankovića, pedijatra-neonatologa, Borivoja Marjanovića, pedijatra-neurologa, i Ljubomira Stojanova, pedijatra-metabologa i genetičara, su po prvi put u našoj medicinskoj nauci obuhvaćeni, kroz 11 različitih podcelina, problemi s kojima se svakodnevno susreću neonatolozi, dečji neurolozi, genetičari, metabolozi, dečji hirurzi i ortopedi, neurohirurzi i fizijatri u odeljenjima neonatologije i odeljenjima intenzivne nege dečjih klinika i instituta, a koje zbrinjavaju vitalno ugroženu novorođenčad. Monografija je upravo namenjena i svima njima.",13860.0
JANSONOVA ISTORIJA UMETNOSTI,"H. V. Janson, Entoni F. Janson",ISTORIJA UMETNOSTI,LAGUNA,2023,1186,Tvrd,22x29,"Istorija umetnosti H. V. Jansona (poznatija kao Janson) još od prvog objavljivanja 1962. godine upoznavala je mnoge naraštaje studenata sa širokim svetom zapadne umetnosti i nadahnjivala milione njenih poklonika. Ovo inovativno izdanje zadržalo je Jansonov poseban narativni stil, izrazit stručni autoritet i nenadmašan umetnički program, ali su dodate nove teme i umetnička dela, koja su danas ključna za proučavanje umetnosti.",13499.0
VELIKI PORODIČNI MEDICINSKI PRIRUČNIK,Grupa autora,MEDICINA (OPŠTA),MLADINSKA KNJIGA,2014,648,Tvrd,24.5x31,"Veliki porodični medicinski priručnik razumljivim jezikom i detaljnim ilustrovanim objašnjenjima približiće vam mehanizme nastanka, prepoznavanja i lečenja najrazličitijih bolesti i poremećaja našeg organizma: urođenih, akutnih, hroničnih oboljenja, povreda... Takođe će vam pružiti neophodna saznanja o tome kako da sačuvate zdravlje svoje porodice – kako da se pravilno hranite, kako da izaberete odgovarajuću fizičku aktivnost za sebe, kako da prepoznate prve simptome bolesti, ali i kako da brinete o starijim i bolesnim članovima porodice.",12990.0
ZEMLJA VELIKA ILUSTROVANA ENCIKLOPEDIJA,Grupa autora,GEOGRAFIJA,MLADINSKA KNJIGA,2006,520,Tvrd,26x34,"S enciklopedijom ZEMLJA pođite na uzbudljivo putovanje, neka vas provede kroz podmorske kanjone do bujnih kišnih šuma, kročite na polarne kape i još dalje…",12990.0
VELIKA ILUSTROVANA BIBLIJA - OD POSTANJA DO OTKRIVENJA,redaktor i urednik protođakon Radomir Rakić,RELIGIJA I TEOLOGIJA,MLADINSKA KNJIGA,2023,512,Tvrd,25x30,"""BIBLIJSKE PRIPOVESTI I MUDROSTI OD PRVE KNJIGE MOJSIJEVE (POSTANJE) DO OTKRIVENJA (SVETOG JOVANA BOGOSLOVA) – tumačenja, priče, citati i objašnjenja u reči i slici!",12990.0
MUZIKA VELIKA ILUSTROVANA ENCIKLOPEDIJA,Grupa autora,MUZIKA,MLADINSKA KNJIGA,2016,416,Tvrd,26x30,"Klasika ili rok, pank ili soul, disko ili pop, svi imaju omiljeni muzički pravac, ali znate li kako je on nastao? Otkud latino ritmovi u džezu ili bluz u rok muzici? Šta je fado, a šta trubadur, ko su vokaloidi, kakav je to „preparirani“ klavir, otkud trubi ventili, koji instrument je „fender“ a koji „stradivari“?",12990.0
VIŠEJEZIČKI MEDICINSKI REČNIK,Aleksandar Kostić,MEDICINA (OPŠTA),JASEN,2009,1701,Tvrd,21.5x30,"Višejezički medicinski rečnik, autora prof. dr Aleksandra Kostića, je izuzetno vredno delo koje je nezamenljiva literatura u medicinskim i naučnim krugovima. Višejezički medicinski rečnik je jedinstveno autorsko ostvarenje. Na oko 1700 strana dato je oko 140.000 reči na latinskom, nemačkom, engleskom, francuskom, italijanskom, ruskom i srpskom jeziku, kao i Eponimni (po autorima) rečnik.",12870.0
