naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
KARLOS FUENTES U POTRAZI ZA IDENTITETOM,Bojana Kovačević Petrović,"TEORIJA, TUMAČENJE I ISTORIJA KNJIŽEVNOSTI",AKADEMSKA KNJIGA,2019,2561,Broš,13x20,"Knjiga Karlos Fuentes u potrazi za identitetom obuhvata temeljno kritičko razmatranje teme identiteta kao jednog od suštinskih pitanja latinoameričkog društva i pojedinca kroz opus Karlosa Fuentesa (Carlos Fuentes, 1928–2012). Za identitet latinoameričkog čoveka, po mišljenju meksičkog književnika, ključni je pojam mestizaje, mešanje rasa, do kojeg je došlo nakon otkrića Amerike 1492. godine, „sudarom“ Starog i Novog sveta. Otuda osnovu Fuentesovog dela čini dijalog sa prehispanskim kulturama, razmatranje značaja otkrića Amerike za latinoamerički identitet i uticaja Španije pri formiranju svesti hispanoameričkog čoveka. Fuentes ukazuje na unutrašnju borbu Latinoamerikanca da prihvati sopstveno biće, on ističe da njegovo multikulturno poreklo predstavlja jedinstveno bogatstvo i neprikosnovenu vrednost naroda i kontinenata objedinjenih španskim jezikom i uverava da je Hispanska Amerika u XXI veku pronašla svoj identitet, te da je pred njom novi izazov, a to je prepoznavanje i prihvatanje međusobnih različitosti odnosno raznolikosti – verske, ideološke, seksualne i svake druge.",1650.0
IZABRANA DELA – IVO ANDRIĆ 1–8,Ivo Andrić,DOMAĆI KLASICI,VULKAN IZDAVAŠTVO,2021,2428,Tvrd,22.5x22,"""Izabrana dela čine sledeće knjige:",15291.0
KRAJ JEDNE DINASTIJE 1-3,dr Vladan Đorđević,ISTORIJA,TALIJA IZDAVAŠTVO,2019,2158,Tvrd,18x25,Reprint izdanja štamparije D. Dimitrijevića iz 1905 i 1906 godine,7425.0
DOGMEN Pušten s lanca,Dejv Pilki,ROMANI I PRIČE ZA DECU OD 7 DO 9 GODINA,VULKAN IZDAVAŠTVO,2021,2021,Broš,14x20,"U gradu se pojavio novi heroj – policajac po imenu Dogmen! Pratite njegove avanture i saznajte šta je šef dobio za rođendan, kako je Perajko postao veći zloća čak i od mačka Pitija i zašto Dogmen ne voli da se kupa. Zavijaćete od smeha na sav glas!",769.0
SANG,Alen Brlek,POEZIJA,KONTRAST,2020,2020,Broš,13x20,"U novoj pesničkoj knjizi Alena Brleka Sang sve je delikatno i promišljeno umreženo. Ona gradi poetski zaplet kroz interakciju jezičkih sila i čovekove pozicije u odnosu na njih. Dok pesnički subjekat stoji zapitan nad   lingvističkom energijom koja ga preplavljuje, on istovremeno pokušava da se izbori sa svojom odrođenošću od prirode. A ona mu se čini podjednako čudovišnom i bliskom – oseća kako ga dubinski prožima, ali mu i  semantički izmiče. Simboličko-tematska jezgra knjige Sang su artikulacija, arheologija i agrokultura. Ovo poslednje treba tumačiti kao ono što ta reč izvorno znači – kultura polja, kultura tla, u kome se talože slojevi  našeg iskustva, naše kolektivne istorije prožete individualnom. Arheologijom se probijamo kroz te slojeve, otkrivamo ih, upoznajemo, ispitujemo, pokušavamo da ih sistematizujemo, da shvatimo šta oni znače po sebi, a šta znače za nas. Artikulacija dolazi na kraju, kada sve te nanose (raz)otkrijemo i vratimo ih na uvid svetlosti dana, onda pokušavamo da (pro)govorimo o njima i pred njima. Otuda nazivi pesama podražavaju cikličnosti",629.0
AKADEMIJA JEDNOROGA Sofija i Duga,Džuli Sajks,ROMANI I PRIČE ZA DECU OD 7 DO 9 GODINA,VULKAN IZDAVAŠTVO,2020,2020,Broš,13x20,Akademija jednoroga je mesto gde su čuda moguća! Upoznajte čudesne jednoroge i njihove prijatelje i uživajte u magičnim avanturama iz edicije Akademija jednoroga.,594.0
BOGATO DETE PAMETNO DETE,"Robert Kiosaki, Šeron Lehter",BIZNIS,FINESA,2002,2018,Broš,16x25,"Danas je obrazovanje važnije nego pre zato što se stvari menjaju brže nego što smo ikada imali prilike da vidimo. Prvi put u istoriji, moglo bi se desiti da se oni kojima je u školi dobro išlo suoče s istim ekonomskim izazovima s kojima se suočavaju oni kojima nije išlo tako dobro. Svi bi trebalo da obratimo pažnju na to da nam naš bankar traži finansijki obračun, a ne školsko svedočanstvo. Bankar time pokušava da nam nešto kaže. Ova knjiga govori o onome što bi vaša deca trebalo da nauče da bi ostvarila lični i finansijski uspeh u stvarnom svetu. * Da li obrazovanje koje dobijaju adekvatno priprema vašu decu za budućnost koja je pred njima? * Da li školski sistem zadovoljava posebne potrebe vašeg deteta? * Šta roditelji treba da urade ako se njihovoj deci škola ne dopada ili im loše ide? * Da li su dobre ocene garant doživotnog profesionalnog i finansijskog uspeha?",891.0
TRANSPARENTNE ŽIVOTINJE,Stefan Bošković,DOMAĆE PRIČE I PRIPOVETKE,PARTIZANSKA KNJIGA,2017,2017,Broš,12x19,"Transparentne životinje kao tekst umnožavaju metaforu nagoveštenu u naslovu. Junaci koji obitavaju u ovim pričama jesu providni i jasni, nema nikakve misterije niti mistifikacije. Istovremeno, svedeni su na životinje, na ono animalno u ljudskom, na nagon i njegovo zadovoljenje. Zbog toga je ova knjiga ironično pesimistična, iako se takvom ne čini. Melanholična, premda sve pršti od akcije.""",693.0
ČISTA KARMA II deo Dijagnostika karme 2,Sergej Nikolajevič Lazarev,EZOTERIJA,ARUNA,2016,2016,Broš,14.5x20.5,"Ranije sam često čitao o jednom te istom – da je nemoguće promeniti svoju sudbinu i pobeći od nje. Kao rezultat mojih dugogodišnjih istraživanja, koja su potvrđena u praksi izlečenja obolelih osoba, ustanovljeno je da promenom karaktera i pogleda na svet možemo da promenimo sudbinu, karmu. U ovoj knjizi nastavljam da opisujem mehanizam koji povezuje misli, emocije i čovekovo ponašanje s njegovim bolestima i bolestima njegove dece. Takođe sam, po hijerarhijskom redosledu, klasifikovao zemaljske i duhovne vrednosti za koje duša može da se veže, a izložio sam i ispravan pogled na svet, pri čemu su navedeni primeri toga kako sam pomogao ljudima da ozdrave i da povrate duševnu harmoniju kroz molitvu i pokajanje, kao i putem promene karaktera i pogleda na svet. Nadam se da će informacije, sadržane u knjizi, pomoći čitaocu da samostalno razreši svoje probleme.",1188.0
STO SATI MRAKA,Ana Volc,TINEJDŽ I YA ROMAN,ODISEJA,2019,2016,Broš,14.5x20.5,"Emilija de Vit uvek je bila uzorno dete, ali kada je njen otac napravio skandal zbog kojeg je internet eksplodirao, a uvrede počele da pljušte sa svih strana, spakovala je kofere i bez ičijeg znanja odletela u Njujork, svoj omiljeni grad. Ipak, proglašenje njene Deklaracije nezavisnosti neće ići glatko, iako je putovanje isplanirala do najsitnijeg detalja.",673.0
