izdavac,count
VULKAN IZDAVAŠTVO,2803
LAGUNA,2503
KREATIVNI CENTAR,748
SLUŽBENI GLASNIK,669
AKADEMSKA KNJIGA,486
PČELICA,482
PUBLIK PRAKTIKUM,377
GEOPOETIKA,338
LEO COMMERCE,300
ČIGOJA ŠTAMPA,297
ARHIPELAG,279
AGORA,251
L.O.M.,243
ZAVOD ZA UDŽBENIKE,238
DATA STATUS,219
PRESING,208
KONTRAST,205
MLADINSKA KNJIGA,204
KOSMOS BG NOVA KNJIGA PG,197
HARMONIJA KNJIGE,186
DARKWOOD,184
CLIO,183
ALBATROS PLUS,180
OTVORENA KNJIGA,171
TANESI,138
VALERA,129
JRJ,128
PARTENON,127
PI PRESS,126
MIBA BOOKS,125
STELA KNJIGE,124
VESELI ČETVRTAK,123
SEZAM BOOK,118
ODISEJA,117
KREATIVNA RADIONICA BALKAN,111
MIKRO KNJIGA,109
PROMETEJ,106
KOMPJUTER BIBLIOTEKA,105
Dexy co,103
VULKAN ZNANJE,102
FEDON,96
BOOKA,94
VULKAN IZDAVAŠTVO - ALNARI,94
ARETE,93
BOGUNOVIĆ IKP,89
LOGOS,84
PROPOLIS BOOKS,82
VULKAN IZDAVAŠTVO - MONO I MANJANA,82
BERNAR,81
VUKOTIĆ MEDIA,80
URBAN READS,79
FINESA,79
EGMONT,78
NNK INTERNATIONAL,77
KNJIGA KOMERC,76
AGM KNJIGA,75
NOVA KNJIGA BG NOVA KNJIGA PG,74
KOMIKO,73
SUMATRA IZDAVAŠTVO,70
UKRONIJA,67
EVRO BOOK,67
PARTIZANSKA KNJIGA,67
GRADAC K,65
LINGEA,64
LOKOMOTIVA DOO system comics,62
TREĆI TRG/SREBRNO DRVO,61
PLATO,61
ARUNA,61
EVRO GIUNTI,57
ŠTRIK,56
INTERSISTEM D.O.O.,54
ŠTAMPAR MAKARIJE,53
KIŠA IZDAVAČKA KUĆA,52
BEOSING,52
MAKONDO,50
KNJIŽEVNA OMLADINA SRBIJE,50
FILIP VIŠNJIĆ,49
BABUN,48
BLUM IZDAVAŠTVO,47
ALGORITAM,45
AGNOSTA,44
NOVA POETIKA,44
AGENCIJA EHO,43
ORFELIN IZDAVAŠTVO,42
JESENSKI I TURK,41
GOLCONDA,40
JASEN,38
BELI PUT,37
HERAEDU,37
NARODNO DELO BEOGRAD,37
PAIDEIA,37
RTS,37
NAJKULA,37
IMPRIMATUR PUBLISHING,36
GANESA KLUB,36
IND MEDIA PUBLISHING,34
BEOGRADSKA KNJIGA,34
GLOBOSINO,34
SAMIZDAT DOO,34
SLOVENSKO SLOVO,34
MALI VRT,34
FUTURA PUBLIKACIJE,34
TEA BOOKS,33
PROSVETA,32
3D+,32
BEOKNJIGA,31
MORO DOO SYSTEM COMICS,30
PHOENIX PRESS,30
RED BOX,29
FAKULTET ZA MEDIJE I KOMUNIKACIJE,29
ALBION BOOKS,29
PANONIJA-RUMA IP,29
ENCO BOOK,28
HAPPY PRINT,28
HELIKS,28
KNJIŽEVNA OPŠTINA VRŠAC,28
ZEPTER BOOK WORLD,28
MATE D.O.O.,27
TALIJA IZDAVAŠTVO,27
AKIA MALI PRINC,27
HARFA & PAMETNICA,27
RENDE,27
PREPOROD,27
STUDIO LIRICA,26
IPC MEDIA,26
VBZ,26
DARMA BOOKS,25
FONDACIJA GRUPA SEVER,25
KOKORO,25
IPS MEDIA,24
KREATIVNI CENTAR D.O.O.  UDŽBENICI,23
INSTITUT DRUŠTVENIH NAUKA,23
4SE,23
ILEARN,22
STUDIO BEČKEREK,22
DEDIĆ,21
KOMSHE,21
GLOSARIJUM,21
PORTAL DOO,21
HESPERIAEDU,20
NOVA KNJIGA PG,20
MASCOM EC BOOKING,19
ZMAJ,19
ORION ART,19
DRASLAR,19
STUDIA JASMINA LAZIĆ,19
BEGEN COMERC,18
KLJUČ IZDAVAŠTVO,18
BIBLIOTEKA  XX VEK,18
AUTORSKO IZDANJE,18
MATICA SRPSKA,17
ZADUŽBINA  IVE  ANDRIĆA,17
PROMETEJ RTS,17
IA NOVA POETIKA ARGUS BOOKS&MAGAZINES,16
CEIR,16
PALADIN,16
DOKAZ IZDAVAŠTVO,16
BESNA KOBILA,16
HOPLIT,16
AMMONITE,16
VERBA,16
PFUUB,16
NEOPRESS,15
BOOK,15
EVOLUTA,15
MOST ART,14
GNB ŽARKO ZRENJANIN,14
ITV CENTAR,14
