naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
ĐULIĆI; ĐULIĆI UVEOCI,Jovan jovanović Zmaj,POEZIJA,KONTRAST,2023,138,Broš,14.8x21,"Generacije su odrastale i emotivno stasavale uz Đuliće (1864), poetsku zbirku u kojoj je Zmaj opevao postepeni razvoj svoje ljubavi prema Ruži Ličanin, njen srećni završetak brakom, kao i prve znake bračne i roditeljske sreće; poetsku zbirku koja i danas ima status „najboljeg kanconijera građanske ljubavne poezije u nas”. U Đulićima uveocima (1882) pak elegičnim tonom opevani su bolest i smrt voljene žene, kao i ostalih pesnikovih milih i dragih: dece, roditelja, sestre, rođaka i prijatelja. Neki od najpotresnijih stihova srpske poezije nalaze se upravo u ovoj zbirci. Zmajeva poezija je ogoljeno pevanje iz srca jednog humaniste, koji čak i u najmračnijim hodnicima svoje duše pronalazi svetlo i zadržava veru u čoveka i budućnost.",629.0
IZABRANE PESME ELZE LASKER ŠILER,Elze Lasker Šiler,POEZIJA,KONTRAST,2023,86,Broš,14.8x21,"U vreme kada je to postalo teško i retko ili nepodnošljivo i konvencionalno, Elze Lasker Šiler je ljubavnu pesmu još jednom dovela do velike lepote.     • Fric Martini   Čak i ako osporimo subjektivni i pristrasni stav Gotfrida Bena da je reč o „najvećoj pesnikinji koju je Nemačka ikada imala”, ipak ne možemo skrajnuti uticaj koji je Elze Lasker Šiler imala na kulturnu klimu prve polovine 20. veka u Nemačkoj i na ekspresionizam uopšte, kako svojom pojavom tako i pesničkim glasom. Slobodna u pogledu spoljašnjih pravila pesničke forme, čime su njena dela postigla veću unutrašnju koncentraciju, uvek nepokolebljivo obrečena samoj sebi, neprijateljski nastrojena prema svemu što je sito, pouzdano, ljubazno, bila je kadra da izražava strasna osećanja, a da pritom ne skida veo i ne otkriva onu tajnu koja je čini suštinski posebnom. Ovaj izbor pesama prati postepeni upliv snažnog erosa iz rajnskog zavičaja Elze Lasker Šiler u bogatu venu fantazije i egzotične simbolike drevnog istočnjačkog sveta, kao i literarno kretanje između patosa i ekstaze, jevrejske religioznosti i savremene nemačke duhovnosti. Na tom putu ka otkrivanju porekla i korena, pod senkom teških istorijskih okolnosti, pesnikinja je stvorila svojevrstan androgini alter ego – Jusufa, princa od Tebe. Mada Jusuf evocira prisustvo biblijskog Josifa, čoveka koji je spojio snove, lutalaštvo i stvarnost nevinog dečaka, koji je otet iz svoje kuće i svoje kulture, za Lasker Šiler je bio više od evokacije, više od književnog lika i apstraktnog estetsko-filozofskog principa – bio je neodvojivi deo njenog identiteta.",629.0
VREME JE MAJKA,Oušn Vuong,POEZIJA,KONTRAST,2024,106,Broš,14.8x21,"Vreme je majka druga je zbirka poezije Oušna Vuonga, koja čitaoca sočava sa sirovom, ali i nežnom tugom, u svetu gde su nasilje, smrt i ljubav doživljeni kao neraskidivo jedinstvo koje prati čoveka. Smrt majke je emocionalni okidač koji vodi u poetsku eksploziju lirskog subjekta. On stoji „na litici sebe”, kao „poslednji svoje vrste na početku nade”, i nudi nam svoju lirsku biografiju kroz ples šrapnela. Upisujući sebe u svaki od tih divnih i nasilnih fragmenata, od čitaoca traži samo spremnost da poeziju doživi i kožom, kako bi ti sitni ožiljci nastavili da govore o humanosti neophodnoj za dostojanstveno podnošenje životnih udaraca.",629.0
IZABRANE PESME I (1930-1963),Oskar Davičo,POEZIJA,KONTRAST,2023,200,Broš,14.8x21,"Oskar Davičo, zajedno sa drugim avangardistima i nadrealistima, nosilac je modernističke paradigme, a u ovim pesmama biće iznova prepoznat po slobodnom odnosu prema jeziku, imaginaciji i nesputanim misaonim tokovima, koji provociraju svakovrsno izobilje, moć da se govori, misli i piše, da se živi, voli i bori. Biće iznova prepoznat po tehnici automatskog pisanja, poetičkoj svesti izgrađenoj u senci psihoanalitičkog poimanja subjektivnosti i pisma, nadrealističkoj eksperimentalnoj praksi, svesnim i nesvesnim tokovima i odnosima. Ukazivaće se kao pesnik koji je najbolje pevao o ljubavi, ratu, detinjstvu, smrti, rodoljublju, nepravdi, borbi, putenosti, prijateljstvu, telesnom i duhovnom previranju...",629.0
USPRAVNA ZEMLJA,Vasko Popa,POEZIJA,KONTRAST,2023,60,Broš,14.8x21,"Uspravna zemlja Vaska Pope svojevrsno je poetsko hodočašće kroz desetovekovno kulturno pamćenje i sabiralište jezičkog iskustva srpsko-vizantijske tradicije. U pet jezgrovitih ciklusa, pesnički putnik povesnim korakom, „sa očevim štapom u ruci / sa upaljenim srcem na štapu“, putuje od srpskih srednjovekovnih manastira (Hilandar, Kalenić, Manasija, Žiča, Sopoćani), preko Kosova i Ćele-kule, tih simbola nacionalne propasti, do Beograda, novog srpskog duhovnog središta. U arhitektonici ove poetske zbirke, iza leksičkog bogatstva, sintaksičke uzdržanosti, intertekstualnosti, intermedijalnosti, kao i čestih inverzija percepcije, krije se modernistički pristup srednjovekovnom poetičkom principu „poetskog totaliteta“, iz kojeg emanira lik Svetog Save kao „vučjeg pastira” i predvodnika srpskog naroda. Rodonačelnik samostalne srpske pravoslavne crkve u Uspravnoj zemlji doživljava najviši stepen artificijelnosti, jer na svom hodočašću nosi štap, pesak i prate ga vukovi, čime se naglašava prelazak vrhovnog paganskog vladara u hrišćansku simboliku. Put koji je u našoj posleratnoj lirici trasirao Ivan V. Lalić ciklusom pesama „O delima ljubavi ili Vizantija” 1969. godine, Vasko Popa je tri godine kasnije popločao spajanjem stare i nove književnosti, odnosno sintetisanjem najdubljih paganskih oblika verovanja kod Srba sa vizantijskim i srednjovekovnim nasleđem.",629.0
KAMA SUTRA,Vatsjajana,UM TELO I DUH,MIRDIN,2006,182,Tvrd,17x24,"Kamasutra je najstariji priručnik o erotici i ljubavi. Ali ona je više od knjige o seksu, ona je o umetnosti života o nalaženju savršenog partnera, o održavanju snage zdravog braka, prepuštanju uživanjima zrelog doba, životu kurtizana ili životu sa njima, korišćenju droga i naravno, o mnogim pozama dostupnim ljubavnicima tokom seksa radi mnogih uživanja koja mogu pružiti jedno drugome. Kamasutra je originalno napisana na sanskritu, književnom jeziku drevne Indije, tokom trećeg veka nove ere, najverovatnije u Severnoj Indiji. Obuhvata enciklopedijski pregled svih mogućih aspekata seksa sa pažljivo proučenom seksualnom psihologijom. Napisana je dramskim, pripovedačkim stilom koji pleni dok govori o umetnosti uživanja, zavođenja i slobodi.",990.0
REČI,Žak Prever,POEZIJA,KONTRAST,2022,234,Broš,14.8x21,"Većina kritičara je zapazila da se Prever uglavnom negativno odnosi ne samo prema religiji, već i prema tradiciji, autoritetima, konvencijama. Međutim, nisu u pravu oni koji ga proglašavaju anarhistom, jer njegova pobuna protiv sveta nije politička, već pesnička, pobuna u ime apsolutne slobode koja se u pesnikovoj svesti poistovećuje sa poezijom. Bez antikonformizma, Preverova, i uopšte angažovana poezija, svela bi se na stihovanu publicistiku. Poezija mora da sadrži dovoljnu meru nepoštovanja tabua, jeresi, svetogrđa da bi čitalac doživeo katarzu, pročišćenje. Preverova poezija je sva u znaku nekonformizma, ali nije nihilistička. Jer ako Prever ne voli reči „vera” i „otadžbina”, to ne znači da ni u šta ne veruje. Naprotiv, Preverova poezija je, kao retko koja poezija našeg vremena, puna iskrene vere u ljudsku toplinu i solidarnost, katkad gotovo detinjski puna poverenja u ljude, u ljubav. Ljubav je za pesnika most ka poverenju i preduslov sreće. A sreća je trenutak sadašnjosti za koji ne postoji ni prošlost, ni budućnost.",629.0
EROTSKE PRIČE,Milorad Pavić,DOMAĆI KLASICI,SUMATRA IZDAVAŠTVO,2024,223,Broš,14x20,"Knjiga od ukupno trideset priča predstavlja ne samo izbor Pavićevih priča, koje se mogu odrediti kao erotske, već i znakovite odlomke iz njegovih dotadašnjih romana (Hazarski rečnik, Predeo slikan čajem, Unutrašnja strana vetra, Poslednja ljubav u Carigradu, Zvezdani plašt, Unikat). Ovaj priređivački postupak, koji bi se pavićevski mogao imenovati „izvrnutom rukavicom” obrnut je u odnosu na njegovu stvaralačku fazu iz sedamdesetih godina 20. veka, kada je, kako piše u „Konjima Svetoga Marka”, najpre poeziju „degradirao” u prozu, a zatim pojedine priče integrisao u romane. Erotske priče, ukratko, potvrđuju pripovednu strukturu Pavićevih romana i njegovo elementarno poetičko načelo, koje staje u naslov Save Babića: Milorad Pavić mora pričati priče!",990.0
IZABRANE PESME,Desanka Maksimović,POEZIJA,KONTRAST,2022,130,Broš,14.8x21,"Književni časopis „Misao” 1920. godine širom je otvorio vrata pesmama mlade Desanke Maksimović, koje su nesvakidašnje neposredno i razumljivo progovarale o prirodi, ljubavi, neizgovorenim čežnjama. Danas, u kontekstu srpske književnosti XX veka, pesničko delo Desanke Maksimović zauzima neprikosnoveno mesto.",629.0
ČOVEK KOJI SE PLAŠIO DA ŽIVI,Migel Anhel Montero,ROMAN,VULKAN IZDAVAŠTVO,2024,240,Broš,14.5x20.5,Otkrijte čari knjige koja je preobrazila hiljade ljudi i postala simbol ljubavi i motivacije.,764.0
